et2_revenue,et2_tollprice,et3_revenue,et4_tollprice,et1_tollprice,et1_revenue,et3_tollprice,et4_revenue
0.0,0,0.0,18,16,278.26143261837314,0,318.4055038445979
483.15661675435047,12,0.0,4,20,297.36948603804126,0,166.53986240388502
488.1100768919466,12,475.0141643059491,18,18,299.91744233104004,16,441.14933225414813
255.41885876163497,6,259.2634560906516,14,18,282.8717118575478,8,395.920679886686
0.0,0,400.2266288951844,12,18,247.25050586806992,16,437.02144880615117
424.24119789558887,10,382.4362606232299,2,12,261.45528126264696,20,109.82598138405507
249.251315256981,6,0.0,0,12,266.74868474301906,0,0.0
89.769324160259,2,58.13031161473087,0,18,262.0380412788344,2,0.0
533.4277620396597,14,153.2011331444759,18,18,323.08215297450386,4,330.42492917847113
90.56252529340348,2,174.73087818696877,6,20,247.1873735329825,6,252.33508700930793
716.71388101983,20,470.48158640226654,14,10,270.8215297450425,16,425.9490084985837
225.01821125050571,6,0.0,14,0,0.0,0,327.64872521246474
442.26628895184143,12,259.2634560906515,10,2,69.14447592067988,8,339.943342776204
763.172804532578,20,384.36260623229487,4,16,318.73087818696905,16,194.2209631728045
485.48765681910163,12,445.6657223796035,10,12,273.2561715904491,18,394.57709429380816
448.0938891137194,12,300.28328611897996,8,2,68.6588425738567,10,308.4095507891542
165.32577903682724,4,137.9036827195467,12,10,243.34277620396603,4,355.92067988668566
577.9036827195466,16,152.06798866855522,16,12,299.2861189801698,4,342.6628895184132
86.49939295831638,2,435.0708215297449,20,12,256.50182112505104,14,413.1930392553621
334.6661270740591,8,224.1359773371105,4,14,281.16713881019837,8,182.80857952246052
658.008903278025,18,223.00283286118972,0,8,229.7757992715501,8,0.0
249.0084985835694,6,389.5750708215297,4,2,64.4985835694051,18,201.01983002832856
553.8162687171185,16,0.0,8,4,134.77296641036023,0,266.3213273978147
396.3982193443948,10,61.52974504249293,0,10,251.80089032780242,2,0.0
165.19627681100766,4,130.53824362606238,8,8,210.8037231889924,4,293.51679481991096
645.8114123836501,20,0.0,18,6,197.1282881424524,0,272.8773775799266
0.0,0,279.6600566572238,20,12,256.3561311210035,8,357.74989882638613
251.29097531363828,6,515.5807365439092,16,8,208.4726831242411,20,482.52529340348036
353.89720760825577,8,444.759206798867,10,20,257.6284904896803,20,412.5859975718331
261.295022258195,6,460.9631728045328,14,16,275.6066369890733,18,463.9093484419262
166.58842573856737,4,249.2917847025496,0,2,64.35289356535816,10,0.0
88.00485633346824,2,427.76203966005676,8,6,161.99271549979764,20,357.78227438284097
246.82314852286513,6,334.2776203966005,18,12,269.17685147713496,10,393.0716309186563
656.9890732496967,18,321.5297450424929,12,12,297.00364225010117,10,375.83164710643484
551.1048158640227,14,481.8130311614732,18,16,309.0829623634154,16,435.6859571023879
89.29987859166329,2,338.5835694050992,12,16,266.800485633347,12,409.5831647106438
166.55605018211244,4,0.0,12,14,282.52691218130303,0,334.55281262646724
476.5520032375556,12,259.2634560906517,12,16,306.2986645082964,8,373.6462970457303
182.03156616754347,4,308.15864022662913,2,18,256.4289761230273,14,105.69809793605823
586.5803318494536,16,125.43909348441927,2,8,229.35491703763657,4,92.34318089842169
384.09550789154207,10,431.10481586402267,16,4,127.1808984216915,14,425.22055847834883
502.29057061918263,12,350.36827195467436,2,16,289.13961958721154,16,105.85997571833263
496.7543504653985,12,225.26912181303112,4,20,286.0380412788344,8,182.4038850667746
236.67341157426145,6,534.900849858357,20,0,0.0,18,432.618373128288
601.2140833670577,16,308.78186968838514,10,12,290.5447187373536,10,350.87009307972465
728.6928369081345,20,569.4050991501417,18,12,297.3921489275598,20,456.8110076891944
176.33346823148523,4,247.93201133144473,12,20,259.1663294212872,8,385.787130716309
84.00647511129098,2,140.73654390934843,14,10,239.98381222177247,4,368.15864022662896
736.3010926750303,20,391.27478753541084,16,18,334.6645082962363,12,404.5002023472283
472.66693646297045,12,339.9433427762041,18,16,308.88870902468653,10,385.78713071630966
84.34641845406718,2,129.4050991501416,8,8,207.3071630918659,4,295.13557264265484
750.7082152974505,20,379.37677053824365,0,10,262.3229461756375,18,0.0
422.46054229057063,10,335.92067988668583,4,16,286.0315661675436,14,194.30190206394172
680.5908539053016,18,317.2804532577903,12,18,325.7045730473495,10,379.4738972076084
604.0631323350871,16,72.0113314447592,10,18,326.2144880615136,2,314.24524484014574
324.0469445568596,8,195.12747875354108,10,12,272.96479158235536,6,339.1339538648321
551.096721974909,16,0.0,14,6,190.6693646297045,0,317.7337110481577
587.3573452043706,16,465.9490084985838,14,6,183.87049777418054,16,428.7818696883852
453.7272359368677,12,317.28045325779044,12,6,180.5681910157831,10,379.4738972076084
552.9097531363819,16,83.342776203966,20,8,237.77256171590443,2,261.8373128288134
348.39336301092675,8,460.96317280453263,14,20,264.5082962363418,18,463.9093484419263
0.0,0,375.29745042492937,8,12,242.2727640631325,16,345.9651962768112
717.3613921489275,20,424.92917847025495,2,2,70.13193039255364,20,106.79077296641034
509.2917847025497,14,65.49575070821531,2,4,131.24403075677864,2,90.36017806556052
